company,job_count
Tata Consultancy Services,653
Accenture,438
EY,340
Leading Client,243
Infosys,209
Capgemini,195
Photon,193
Logic Planet,185
Hexaware Technologies,147
Sparix Global,126
Paytm,111
Fractal Analytics,108
Krazy Mantra It,102
Han Digital Solution,98
Crisil,98
Diverse Lynx,94
Iris Software,91
Nagarro,90
Cognizant,88
Tech Stalwart Solution,86
PwC Service Delivery Center,85
IBM,82
Tech Mahindra,77
CGI,72
Synechron,71
Barclays,68
Coforge,68
Optum,61
Welo Data,61
Acme Services,60
Clifyx Technology,56
US MNC (analytics),54
Luxoft,54
S&P Global Market Intelligence,52
Mastercard,52
Codvo,51
Thales,51
UPS Supply Chain Solutions (UPS SCS),49
Zensar,48
HCLTech,47
RIGHT STEP CONSULTING PRIVATE LIMITED,46
Capco,46
Jones Lang LaSalle (JLL),44
Wipro,42
Tredence,42
Adobe,42
JPMorgan Chase Bank,41
Persistent,40
Bahwan CyberTek,38
Google,38
Infraveo Technologies,38
Grid Dynamics,38
Airo Digital Labs,37
Hitachi Digital Services,37
Tekskills,37
Maruti Suzuki,37
Crescendo Global,37
Cloud Counselage,36
Altimetrik,36
SWS Smart Working Solutions,36
Genpact,36
Anaplan,36
Highlevel Llc,35
Birlasoft,35
Micro1,35
Ltimindtree,35
Tekskills India Pvt ltd,34
DXC Technology,34
Cloudxtreme,34
Axis Max Life Insurance,34
Vrinda International,34
Axtria,33
Estalvis Advisors,33
Ascendion Engineering,32
Oliver Wyman,31
Bajaj Finance,31
IDESLABS,31
Tiger Analytics,30
Dentsu Webchutney,30
Quantiphi Analytics Solutions,30
BCForward,30
Rockwell Automation,29
TP,29
Careernet,29
ZS,29
Kyndryl,29
Rarr Technologies,28
Evalueserve,28
Ecolab Global Services,28
Quarks Technosoft,28
Squircle IT,28
KLA,27
UST,27
Info Edge,27
Azilen,27
EXL,26
Damco Solutions,26
Spanbix Technologies,26
Alignerr,26
Lorven Technologies,26
LLP S3bglobal Technologies,26
Caterpillar Inc,26
AtkinsRéalis,26
InfoCepts,26
Prudential,26
Deloitte US-India Offices,25
SLK Software,25
Elsevier,25
Ciklum,25
Artify Talent Studio,25
FIS,24
Hewlett Packard Enterprise,24
Tekskills india,24
Globallogic,24
Numerator,24
FedEx,24
Acenet,23
GForce Consulting Solutions,23
Hatigen Consulting Services,23
Hitachi Energy,23
Tekskills india pvt ltd,23
Exavalu,23
Allianz,22
MNJ Software,22
Clover Infotech,22
Bounteous x Accolite,22
Adani Group,22
Innova Solutions,22
Virtusa,22
"NTT DATA, Inc.",22
Happiest Minds Technologies,22
Open Insights,22
Impetus Technologies,21
Mufg Pension & Market Services,21
Deutsche Bank,21
Yash Technologies,21
Speechify,20
Mobile Programming,20
Impronics Technologies,20
Expedia,20
Apex Group,20
Krazymantra It Solutions,20
Scry Analytics,20
Acuity Knowledge Partners,20
The It Mind Services,19
Epam Systems,19
Aliqan Services,19
Wing Assistant,19
PointAbout Inc.,19
Tekskills India,19
Virtualware Innovations,19
KPI Partners,19
Databricks,19
ARP Investments,19
Ztek Consulting,19
Stack Digital,19
Aecom,19
IT Company,19
eLabs Infotech,19
IBU Consulting,19
Premium,18
Ahead,18
Service based Top B2B MNC in IT Services Sector,18
PayU,18
TekWissen India,18
Godigi Infotech,18
Insight Direct India,18
Straive,17
Conduent,17
Navikenz India,17
Katbotz Llc,17
Affine Analytics,17
Calsoft,17
brillio-2,17
Thermo Fisher Scientific,17
Embarkgcc Services,17
Nomura,17
AMERICAN EXPRESS,17
TATA 1 MG,17
Origin Hr,16
Zenon LLC,16
Siemens,16
Globant,16
Baker Hughes,16
PW,16
360DigiTMG,16
Star4rall It Solutions,16
Premium Aerotec,16
Overture Rede,16
Crescendo Global Leadership Hiring India,16
Moris Media,16
Atyeti,16
Tenarai Technologies,16
Stratonik,15
Drivetrain,15
Agilisium,15
Conneqt,15
Kiya.ai,15
Heinz,15
Gallagher,15
Ceresight,15
TO THE NEW,15
Programming.Com,15
TE Connectivity,15
Global Act,15
enGen Global,15
Smiths,15
Leading IT Service and Consulting Organization,15
Intuitive Apps,15
E4 Softwares,15
Hdfc Bank,15
PSRTEK,15
Digital Glyde,15
Codersbrain India,15
Comviva Technology,14
Scribble Data,14
Natwest Digitalx,14
Black and white Business Solution,14
Tekskills India pvt ltd,14
VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,14
ti Steps,14
Protiviti India,14
Salesforce,14
Black and white Business Solutions,14
Service based Top B2B MNC in IT Services Domain,14
Fortune India 500 IT Services Company,14
Movate Technologies,14
Simcorp,14
Mindshare,14
Busigence Technologies,14
Indium Software,14
eClerx,14
Flexsin Technologies,14
Jobgether,14
Bean Hr Consulting,13
Microland,13
Oxane Partners,13
Rapsys Tech Solutions,13
Umbrella Infocare,13
Grant Thornton India Pvt Ltd,13
Iqvia Biotech,13
Sykes,13
Clarivate,13
Rezultize,13
Prolegion,13
Finicity,13
Startek,13
CareerFit.ai,13
CAI,13
Larsen & Toubro (L&T),13
LatentView,13
TEKsystems,13
Heptarc Talent Acquisition,13
QX Global Group,13
Alstom,13
Sparta Systems,12
Level Ai,12
LogiNext,12
Xpheno,12
Fujitsu,12
Go Digital Technology Consulting,12
Pfizer,12
TUV SUD South Asia,12
Nvidia,12
anblicks,12
House of Edtech,12
Prgx India,12
Schneider Electric India Pvt. Ltd.,12
Right Step Consulting,12
Goldman Sachs,12
