job_title,skill,demand
.NET & Angular Full-Stack Developer | Enterprise Web Applications,AWS,1
.NET & Angular Full-Stack Developer | Enterprise Web Applications,Azure,1
.NET Application Developer (Azure),Azure,1
.NET Software Developer,SQL,2
.NET Software Developer & Gen Ai,Machine Learning,1
".NET, Visual Basic, MS SQL",SQL,1
.Net Developer - C2H Role,SQL,3
.Net Full Stack Developer,Azure,1
.Net core + AWS,AWS,1
3 To 5 years of Exp. as a PHP developer For Malad Mumbai Location,Python,1
3+ years of AI ML Engineer For Bhayander Mumbai / Remote Location,Deep Learning,1
3+ years of AI ML Engineer For Bhayander Mumbai / Remote Location,Machine Learning,1
"6Months Contract-Tableau Developer/ BI Analyst(Sales Ops), Pune",Tableau,1
ACN GN Banking Data Transformation Analyst,Power BI,1
ACN GN Banking Data Transformation Analyst,Tableau,1
ACN S&C Global Network - AI -Song-Analyst,Java,1
ACN S&C Global Network - AI -Song-Analyst,Python,1
ADAS Data Science & Machine Learning Engineer,Machine Learning,1
ADF + Python developer,Python,1
"AGM Data Analytics, AI and Automation",Power BI,1
"AGM Data Analytics, AI and Automation",Tableau,1
AI & Data Platform Architect,PyTorch,1
AI & Data Platform Architect,Python,1
AI & ML Engineer,AWS,1
AI & ML Engineer,GCP,1
AI & ML Engineer,Machine Learning,1
AI & Machine Learning Developer,Machine Learning,1
AI & Machine Learning Engineer,Machine Learning,1
AI & Python Developer,Python,1
AI (Machine Learning) Engineer,Machine Learning,1
AI - Business Intelligence Analyst,Deep Learning,1
AI - Business Intelligence Analyst,Machine Learning,1
AI / ML ( Full stack Engineer ),Machine Learning,1
AI / ML Engineer,AWS,2
AI / ML Engineer,Artificial Intelligence,1
AI / ML Engineer,GCP,1
AI / ML Engineer,Machine Learning,1
AI / ML Engineer,PyTorch,1
AI / ML Engineer,Python,1
AI / ML Engineer,TensorFlow,1
AI / ML Engineer E3,AWS,1
AI / Machine Learning Engineer,Machine Learning,2
AI / Machine Learning Engineer,Python,1
AI / Machine learning Developer,Machine Learning,1
AI / Python Developer (Kolkata),Python,1
AI Agent Architect,AWS,1
AI Agent Architect,Python,1
"AI Agent Automation Engineer (n8n, Claude Code, Python)",Python,1
"AI Agent Developer | Python, LangChain, Cloud (AWS), Autonomous",AWS,1
"AI Agent Developer | Python, LangChain, Cloud (AWS), Autonomous",Python,1
AI Agent Specialist,Machine Learning,1
AI Analyst,Python,1
AI Architect,AWS,2
AI Architect,Azure,1
AI Architect,Docker,1
AI Architect,GCP,1
AI Architect,Kubernetes,1
AI Architect - BIM,AWS,1
AI Architect - BIM,Azure,1
AI Architect / Artificial Intelligence Architect,Artificial Intelligence,1
AI Business Analyst - C2,Machine Learning,1
AI Consulting,Azure,1
AI DEVELOPER - MANAGEMENT INFORMATION SYSTEM (CENTRAL),Deep Learning,1
AI DEVELOPER - MANAGEMENT INFORMATION SYSTEM (CENTRAL),Machine Learning,1
AI DEVELOPER - MANAGEMENT INFORMATION SYSTEM (CENTRAL),Python,1
AI Data Engineer,AWS,3
AI Data Engineer,Azure,5
AI Data Engineer,GCP,2
AI Data Engineer,Spark,1
AI Developer,Machine Learning,1
AI Developer,TensorFlow,1
AI Engineer,AWS,3
AI Engineer,Artificial Intelligence,5
AI Engineer,Azure,3
AI Engineer,Deep Learning,5
AI Engineer,GCP,3
AI Engineer,Machine Learning,11
AI Engineer,PyTorch,5
AI Engineer,Python,4
AI Engineer,TensorFlow,6
AI Engineer (Gen AI Specialist) | GeakMinds | Chennai,AWS,1
AI Engineer (Gen AI Specialist) | GeakMinds | Chennai,Azure,1
AI Engineer (Gen AI Specialist) | GeakMinds | Chennai,GCP,1
AI Engineer (Generative AI & Machine Learning),Machine Learning,1
AI Engineer (LLMs / RAG / ML / DL),PyTorch,1
AI Engineer (LLMs / RAG / ML / DL),TensorFlow,1
AI Engineer (Python + GenAI),Python,1
AI Engineer - Machine Learning,Machine Learning,1
AI Engineer - Virtual Interview - 8th May (fRIDAY),Python,2
AI Engineer / Machine Learning Engineer,Machine Learning,1
AI Engineer MLOps AIOps (Azure),Azure,1
"AI Engineer Python, Langchain, LangGraph, Agentic AI, API, LLMs",Python,1
AI Engineer | Python | AI Agents | Machine Learning,Machine Learning,1
AI Engineer | Python | AI Agents | Machine Learning,Python,1
"AI Engineer- Azure AI Foundry, Azure Open AI, RAG, LLM",Azure,1
"AI Engineer-Azure AI Foundry, DevOps, Infrastructure Automation, CI/CD",Azure,1
AI Engineer-Python-Quest GLobal,Python,1
"AI Engineer/Lead-Python, AI-ML, Gen AI",Python,1
AI Engineer/Python Developer,Python,2
AI Engineer/Senior AI Engineer,Python,1
AI Engineer: Founder's Office(3 M Internship with Potential FTE),Machine Learning,1
AI Expert / Principal AI Engineer,Machine Learning,1
AI Full Stack Developer,Python,1
AI Full Stack Developer : React + Java/Python (GenAI/LLM),Java,1
AI Full Stack Developer : React + Java/Python (GenAI/LLM),Python,1
AI Lead Engineer GPM,Machine Learning,1
AI ML Developer,Python,1
AI ML Engineer,Machine Learning,1
AI ML GenAI engineer-Chennai/BLR/Gurgaon- 5yrs+,Machine Learning,2
AI ML OPs Engineer,GCP,1
AI ML Python Developer,Python,1
AI Machine Learning Engineer,Machine Learning,1
AI Machine Learning Trainer,Machine Learning,1
AI Ml Engineer,Deep Learning,1
AI Ml Engineer,Machine Learning,1
AI Ml Engineer,PyTorch,1
AI Ml Engineer,Python,1
AI Ml Engineer,TensorFlow,3
AI Operations / Python AI Developer,Python,1
AI Platform Engineer,AWS,1
AI Platform Engineer,Azure,1
AI Platform Engineer,GCP,1
AI Platform Engineer,Kubernetes,1
AI Platform Engineer,Python,1
AI Platform Engineer II,AWS,1
AI Python Developer,Python,1
AI Python developer,Azure,1
AI Python developer,Python,1
AI Reliability & Red Teaming Engineer,PyTorch,1
AI Reliability & Red Teaming Engineer,TensorFlow,1
AI SDLC Engineer,Java,2
AI SDLC Engineer,Python,2
AI Security Engineer - Consultant,AWS,1
AI Security Engineer - Consultant,Azure,1
AI Security Engineer - Consultant,GCP,1
AI Soution Architect,Spark,1
AI Specialist,Artificial Intelligence,1
AI Team Lead,AWS,1
AI Team Lead,Azure,1
AI Team Lead,GCP,1
AI Technology Lead - Apache Spark / PySpark,Spark,1
AI Technology Lead - Apache Spark / PySpark,TensorFlow,1
AI Trainer Machine Learning,Machine Learning,1
AI Workflow Trainee,Java,1
AI Workflow Trainee,Python,1
AI \/ Machine Learning Professional,Machine Learning,1
AI and Automation Specialist,Machine Learning,1
AI and Automation Specialists,Machine Learning,1
AI and Machine Learning Engineer,Machine Learning,1
AI and Machine Learning Engineering Professional,Machine Learning,1
AI and Machine Learning Engineering Professional,PyTorch,1
AI and Machine Learning Engineering Professional,Python,1
AI and Machine Learning Engineering Professional,TensorFlow,1
AI and Machine Learning Manager,Machine Learning,1
AI and Robotics Trainer,Python,1
AI and machine learning software developer,Machine Learning,1
AI-Native Engineer (JAVA JEE Specialization),Java,1
AI/ Machine Learning Engineers/ Leads/ Architects/ Mngrs- Fortune 500,Machine Learning,4
AI/ Machine Learning Managers/ Architects/ SM/ AD/ AVP- Fortune 500,Machine Learning,4
AI/GenAI Engineer,Python,1
AI/ML Developer (LLMs & Prompt Engineering) – Python & AI,Python,1
AI/ML ENGINEER / Senior Engineer,Machine Learning,1
AI/ML Engineer,Azure,1
AI/ML Engineer,Deep Learning,3
AI/ML Engineer,Docker,1
AI/ML Engineer,Kubernetes,1
AI/ML Engineer,Machine Learning,2
AI/ML Engineer,PyTorch,2
AI/ML Engineer,Python,1
AI/ML Engineer,Spark,1
AI/ML Engineer,TensorFlow,2
AI/ML Engineer (Python),Python,1
"AI/ML Engineer - GenAI, LLM & RAG (Python & NLP)",Python,2
"AI/ML Engineer - GenAI, RAG & Prompt Engineering (AWS)",AWS,2
AI/ML Engineer - Vertex AI & Google Cloud Platform (GCP),GCP,1
AI/ML Engineering Lead (Machine Learning & Generative AI),Machine Learning,1
AI/ML Expert (Artificial MAchine Learning),Machine Learning,1
AI/ML Lead,Python,1
AI/ML Machine Learning Engineer,Machine Learning,1
"AI/ML, Vertex, GCP",GCP,1
AI/Machine Learning Engineer,AWS,1
AI/Machine Learning Engineer,Machine Learning,3
AI/Machine Learning Engineer 2,Machine Learning,1
AIML Engineer,AWS,2
AIML Engineer,GCP,1
AIML Engineer,Machine Learning,1
AIML Engineer,TensorFlow,1
AIML Technical Architect,Machine Learning,1
AIOps Engineer,Python,1
AL/ML Engineer,Machine Learning,1
AML / KYC Business Analyst,SQL,1
"API Automation SDET , Java - BLR",Java,2
"API Backend Developers with Azure &.Net - (API, Azure, .Net)",Azure,2
ARTIFICIAL INTELLIGENCE Professional,Artificial Intelligence,1
ASCA Business Analyst,Excel,2
AWS -Data Engineer,AWS,1
AWS Bedrock,AWS,1
AWS Bedrock Developer + Python (2-10 yrs)-@Infosys,AWS,1
AWS Bedrock Developer + Python (2-10 yrs)-@Infosys,Python,1
AWS Bedrock Developer-Terraform-Python,AWS,1
AWS Bedrock Developer-Terraform-Python,Python,1
AWS Cloud Architect,AWS,1
AWS Cloud Engineer,AWS,1
AWS Cloud Engineer (Gen AI Tools) (5 locations),AWS,1
AWS DATA ENGINEER,AWS,1
AWS Data Architect,AWS,10
AWS Data Bricks Engineer,AWS,1
AWS Data Engineer,AWS,19
AWS Data Engineer,SQL,1
AWS Data Engineer (Senior) (Freelancer),AWS,1
AWS Data Engineer (Spark and Scala)- Chennai/Pune/Bangalore/Hyd/Delhi,AWS,2
AWS Data Engineer (Spark and Scala)- Chennai/Pune/Bangalore/Hyd/Delhi,Java,2
AWS Data Engineer (Spark and Scala)- Chennai/Pune/Bangalore/Hyd/Delhi,Python,2
AWS Data Engineer (Spark and Scala)- Chennai/Pune/Bangalore/Hyd/Delhi,SQL,2
AWS Data Engineer (Spark and Scala)- Chennai/Pune/Bangalore/Hyd/Delhi,Spark,2
"AWS Data Engineer - Glue , Lambda",AWS,2
AWS Data Engineer - Lead,AWS,1
AWS Data Engineer - Redshift(Chennai / Pune/Indore/Bengaluru),AWS,2
AWS Data Engineer - SSE,AWS,1
AWS Data Engineer - Support Engineer Freelancer,AWS,5
AWS Data Engineer | F2F Interview | 5+ yrs!!,AWS,3
AWS Data Engineer | F2F Interview | MNC | 5+ yrs!!,AWS,1
AWS Data Engineering,AWS,1
AWS Data Lake Architect,AWS,1
AWS Data Scientist - (Domain - Bank) - 8+ Yrs - BLR,AWS,1
AWS Data engineer,AWS,1
AWS Databricks Data Engineer,AWS,1
AWS Databricks Engineer,AWS,2
AWS Databricks Engineer,Python,2
AWS Databricks Python Developer,AWS,2
AWS Databricks Python Developer,Python,2
"AWS Datawarehouse, Data pipeline ecosystem, Data flow diagram, Data no",AWS,1
AWS DevOps - Senior Engineer,AWS,1
AWS DevOps Engineer,AWS,1
AWS DevOps Engineer (Senior) - Migration Project (VMware To AWS),AWS,1
AWS Engineer Solutions Architect Part time Flexible,AWS,1
AWS Glue Data Engg_Pan India_5+ years,AWS,1
AWS Glue Data Engineers_7-10 years_Pune,AWS,1
AWS Infrastructure Consultant,AWS,1
AWS Lead Data Engineer,AWS,3
AWS Mid Market Operations Analyst - Global (Senior Analyst),AWS,1
AWS RedShift Database Administrator,AWS,1
AWS Senio Developer,AWS,1
AWS Senior Data Migration Engineer,AWS,1
AWS Senior Developer,AWS,2
AWS Solutions Architect,AWS,1
AWS Spark Data Engineer,AWS,2
AWS Spark Data Engineer,Spark,2
AWS Spark Scala Data Engineer,AWS,2
AWS Spark Scala Data Engineer,Spark,2
AWS Tech Lead,AWS,1
AWS Tech Stack Lead / Engineer,AWS,1
AWS and Gen AI Solution Architect,AWS,1
AWS data engineer- Chennai/Pune/Indore/Hyderabad/Delhi,AWS,2
Accounts & Data Entry Executive,Excel,1
"Adjunct Faculty R, Python, Machine Learning",Machine Learning,1
"Adjunct Faculty R, Python, Machine Learning",Python,1
Admin Executive Job(Advance Excel Knowledge)in Big Company,Excel,1
Adobe analyst / Marketing analytics-- US MNC (Analytics),SQL,1
Advance Excel Analyst,Excel,1
Advance Excel Intern,Excel,1
Advance Software Developer - Python,Python,1
Agentic AI Architect,Python,1
Agentic AI Developer - Consultant,Azure,1
Agentic AI Developer - Python LLM API - #1 HOT JOB,Python,1
Agentic AI Engineer,AWS,1
Agentic AI Engineer,Azure,1
Agentic AI Engineer,GCP,1
Agentic AI Engineer (Gurgaon/Chennai/Bangalore/Pune),AWS,1
Agentic AI and GenAI Engineer,AWS,1
Agentic AI and GenAI Engineer,Azure,1
Agentic Artificial Intelligence Engineer,Artificial Intelligence,1
Ai Engineer,Deep Learning,1
Ai Engineer,PyTorch,1
Ai Engineer,Python,1
Ai Engineer,TensorFlow,1
Ai ML Engineer,Machine Learning,1
Ai Ml Engineer,AWS,1
Ai Ml Engineer,Azure,3
Ai Ml Engineer,Docker,1
Ai Ml Engineer,GCP,1
Ai Ml Engineer,Machine Learning,4
Ai Ml Engineer,PyTorch,2
Ai Ml Engineer,Python,3
Ai Ml Engineer,SQL,2
Ai Ml Engineer,TensorFlow,2
Airline Domain - Java Python Developer,Java,1
Airline Domain - Java Python Developer,Python,1
Alteryx Developer with Python,Python,1
Alteryx-Python developer,Python,2
Analyst,Excel,2
Analyst - Power BI,Power BI,1
Analyst - Power Bi,Power BI,1
Analyst I - Internal Controls,Excel,1
Analyst II - Internal Controls,Excel,1
Analyst in Finance Data Operations,Excel,1
"Analyst, LLMO",Tableau,3
"Analyst, Product Operations (Python or Pyspark AND SQL AND Databricks)",Python,1
"Analyst, Product Operations (Python or Pyspark AND SQL AND Databricks)",SQL,1
"Analyst, Solution Delivery Services",SQL,1
Analyst/Consultant - Data Engineer - Azure (INDM),Azure,1
Analyst: Controlling Finance Business Partner,Excel,1
Analytics Data science and IOT Lead,PyTorch,1
Android Developer ( Java & Kotlin Developer ),Java,1
Angular + Java(Spring Boot)Developer,Java,1
Angular Developer,Git,1
Animation VFX Python Developer,Python,1
Ansible & Python Developer,AWS,1
Ansible & Python Developer,Git,1
Ansible & Python Developer,Python,1
Apache spark with cloud,Azure,1
Apache spark with cloud,SQL,1
Apache spark with cloud,Spark,1
Application Developer,Docker,1
Application Developer,Java,1
"Application Developer (Python, Javascript, Kubernetes)",Kubernetes,1
"Application Developer (Python, Javascript, Kubernetes)",Python,1
Application Developer - AI/ML For Python,Python,1
Application Lead Artificial Intelligence,Artificial Intelligence,1
Application Lead Microsoft Azure Analytics Services,Azure,1
Application/Production Support(Linux and SQL),SQL,1
"Applications Developer .Net, SQL & Angular",SQL,1
Applied Artificial Intelligence & ML Engineer - Associate,Artificial Intelligence,1
Applied Artificial Intelligence & ML Engineer-Vice President,Artificial Intelligence,1
Applied Artificial Intelligence & Machine Learning EXPERT,Artificial Intelligence,1
Applied Artificial Intelligence & Machine Learning EXPERT,Machine Learning,1
Applied Artificial Intelligence & Machine Learning EXPERT,Tableau,1
Applied Artificial Intelligence & Machine Learning Vice President,Artificial Intelligence,1
Applied Artificial Intelligence & Machine Learning Vice President,Machine Learning,1
Apprentice,Excel,1
Apprentice,Power BI,1
Apprentice,Python,1
Apprentice,SQL,1
Apprentice,Tableau,1
Architect - Machine Learning,Machine Learning,1
Architect Data Science (Deep Learning and NLP Expert),Deep Learning,1
Architecture Senior Advisor AI Principal,Python,1
Architecture Senior Advisor AI Principal,SQL,1
Artificial Intelligence & Machine Learning Engineer,Artificial Intelligence,1
Artificial Intelligence & Machine Learning Engineer,Machine Learning,1
Artificial Intelligence ( AI ) Engineer,Artificial Intelligence,1
Artificial Intelligence (AI) Engineer,Artificial Intelligence,1
Artificial Intelligence (AI) Lead,Artificial Intelligence,2
Artificial Intelligence (AI) and Machine Learning Expert,Artificial Intelligence,1
Artificial Intelligence (AI) and Machine Learning Expert,Machine Learning,1
Artificial Intelligence (CoPilot AI) Intern,Artificial Intelligence,1
Artificial Intelligence (Gen AI) Intern,Artificial Intelligence,1
Artificial Intelligence / AI - Lead,Artificial Intelligence,1
Artificial Intelligence / Machine Learning Engineer,Artificial Intelligence,1
Artificial Intelligence / Machine Learning Engineer,Machine Learning,1
